pwsid,p_lead_rich,exp_hidden_lead,inv_cost,rank
NC0299010,0.9331583597224967,112.52386947829734,64000.0,77
IL1235150,0.9328850793973334,63.627674516529645,36200.0,78
PA6200051,0.9328814677498266,685.1373344141676,389800.0,79
IL0310390,0.9316367361978691,430.4041045800244,245200.0,80
IL0890250,0.9313760700381916,56.85640798604377,32400.0,81
KY1130293,0.9309673140327168,81.73906832717245,46600.0,82
WI1540112,0.9309439242149621,3535.3889876542758,2015600.0,83
NC0383015,0.9298897452439288,84.44770080795317,48200.0,84
WV3302835,0.9297853732587553,1294.2522537305583,738800.0,85
IL0312160,0.92968880547026,742.3485886974711,423800.0,86
GA1370003,0.9292326962778564,592.1168487331195,338200.0,87
WI2650066,0.9282637506589153,33.929890218838125,19400.0,88
OH5002303,0.9282174858213416,4098.66636703469,2343600.0,89
IN5292004,0.9278994072099236,388.46713725460194,222200.0,90
IL0311110,0.9277013628544627,2769.3787891879097,1584400.0,91
KS2014706,0.9273186234496018,403.5991984083701,231000.0,92
IN5255009,0.9266048551523005,1317.75840885743,754800.0,93
PA4070023,0.9262706705698144,4061.4485337346327,2327200.0,94
AL0000904,0.925873290883592,11.862324547282302,6800.0,95
IL1671200,0.925834909299465,2958.8295289629905,1696200.0,96
OH6401111,0.9249689153012611,194.8400690466552,111800.0,97
MN1280002,0.9248859176659234,116.40562384168683,66800.0,98
KY0590220,0.9248456515583069,7543.034830707514,4328800.0,99
PA2400078,0.9227573450479253,18.42903985877027,10600.0,100
MN1640003,0.9226370304130943,79.26930621085138,45600.0,101
NC0326010,0.9225308847255578,10974.059519475953,6313600.0,102
IL0971900,0.922190126509975,204.6798508434575,117800.0,103
WI1110100,0.9215970433695807,117.72809047830665,67800.0,104
IL0313000,0.9207758295260111,574.9310286059864,331400.0,105
PA7010003,0.9206201837368466,118.64404014195958,68400.0,106
MO5010408,0.9201693546151851,16.643640697936732,9600.0,107
KY0510188,0.9200276187985568,77.65835951727712,44800.0,108
GA1090001,0.9199175377454243,475.60053975918936,274400.0,109
KS2011507,0.9194760068429826,346.82772523802555,200200.0,110
NY1101757,0.9193468039608456,249.77787371268207,144200.0,111
IN5270001,0.9185957091850818,91.72962442140184,53000.0,112
IN5268010,0.9182603752640284,236.33382102835105,136600.0,113
OH3101212,0.9176943184524587,319.18250064341055,184600.0,114
IN5283004,0.9173464953084045,557.9255694973125,322800.0,115
MN1490002,0.9170721615182454,484.1511574935171,280200.0,116
NJ1439001,0.917058971399496,161.72696845078397,93600.0,117
MN1670004,0.9169814925155,223.21964714642357,129200.0,118
FL6080256,0.9168470926248692,72.55302689419386,42000.0,119
PA3480055,0.9162449819366058,3260.67051592177,1888800.0,120
IN5224001,0.9159127996018513,255.05738076205233,147800.0,121
MI0004110,0.9158516459023001,259.87196801669313,150600.0,122
MI0002600,0.9143859365431593,142.30459330972673,82600.0,123
MN1180002,0.9143324035975092,599.1602898547817,347800.0,124
KS2001305,0.9143315451970552,347.9881107648408,202000.0,125
MN1280007,0.9136721961547681,475.1260304164977,276000.0,126
OH1500312,0.9135719474659073,559.7609856841967,325200.0,127
NC0309010,0.9122135278972822,311.7763184168911,181400.0,128
VA3131210,0.9117933595185682,79.02483357659939,46000.0,129
IL0312490,0.9110584537893054,102.30617209491002,59600.0,130
IL0312940,0.9107435805062128,51.821788196889784,30200.0,131
MO4024096,0.9104999430801656,578.8077459775166,337400.0,132
IL0190600,0.9103840908201027,109.09154906142287,63600.0,133
IN5282002,0.9100304705105181,23045.725576651996,13440800.0,134
WI2650113,0.9097843033706633,426.47948874800227,248800.0,135
ND0900492,0.9092080414744366,48.65090702739728,28400.0,136
KS2011313,0.9086934278282786,129.43404263223078,75600.0,137
IL1190500,0.907897967429597,137.873696298675,80600.0,138
FL6290327,0.9076483665702302,9362.915139591514,5475000.0,139
IN5252016,0.9072496146428323,1326.8131405959546,776200.0,140
PA1090074,0.9066293711282852,4151.613104407782,2430400.0,141
ND5100072,0.9063484681397479,56.011652020225625,32800.0,142
WI6480250,0.9058146488192907,142.3359891224272,83400.0,143
NJ0112001,0.9057690405031158,153.59225440917527,90000.0,144
KY1180471,0.9055016697925451,82.91533467408775,48600.0,145
MI0004040,0.9048132905744349,233.55483996827996,137000.0,146
IL0510350,0.9047718140658844,779.389620405914,457200.0,147
IL0312670,0.9038989047419366,114.44543295894006,67200.0,148
MN1720007,0.9020470977883968,56.42565777752384,33200.0,149
MN1290003,0.9020359229223509,123.38710860782344,72600.0,150
MN1820001,0.9018460969993922,134.23595431020792,79000.0,151
IN5225003,0.9015588956128856,20.723507701153164,12200.0,152
IL0311350,0.9011454555595688,201.36728713954778,118600.0,153
VA1169725,0.9005918240636144,12.217147848954419,7200.0,154
IL1110250,0.9004599293190145,262.2908945117074,154600.0,155
ME0091280,0.8997865508054502,319.0571266951946,188200.0,156
IN5245041,0.8996512317270842,4246.449025626909,2505200.0,157
WI2410595,0.8995726005413756,256.9477112890286,151600.0,158
IL0311710,0.8986039238216295,9.481251588798155,5600.0,159
IN5238007,0.8978125791693027,103.18696864478757,61000.0,160
IL0310660,0.8977585965691661,251.01681030146173,148400.0,161
MO5010141,0.8976370268126845,31.795667087241107,18800.0,162
TN0000700,0.897540483921864,118.71360462104231,70200.0,163
IN5264029,0.8973820264133245,425.7380100364722,251800.0,164
PA2359014,0.8958510757689675,484.42555950132544,287000.0,165
MN1790004,0.8958159989801603,33.41899136164318,19800.0,166
IL1835120,0.8955918899688988,5267.405313234601,3121600.0,167
NY3704364,0.8955414148014414,171.76820850127635,101800.0,168
WI2300046,0.8953990827242106,2486.362978426148,1473800.0,169
PA1090082,0.894780742558495,618.7169675380137,367000.0,170
IL1410350,0.8946101152381607,90.00868040482598,53400.0,171
MN1600008,0.8946089153384408,140.2380555318387,83200.0,172
MN1730018,0.8939605983808563,150.57928463913598,89400.0,173
MO2010271,0.893811169950941,199.72838945992854,118600.0,174
IL0312700,0.8937667939380526,98.68045983991529,58600.0,175
NY4600071,0.8931480718756373,1259.0718150259986,748200.0,176
AL0000548,0.8919222477730396,132.4227332696554,78800.0,177
TX0450004,0.8918109620310054,43.35127206254233,25800.0,178
OH3900811,0.8916306896302726,175.04997801613746,104200.0,179
ND5100515,0.8914948836316189,96.07805820152876,57200.0,180
MN1820003,0.8912243042799796,118.2140275232172,70400.0,181
IN5226005,0.8912098944562283,378.48026967338416,225400.0,182
IL0110450,0.8905042795236938,62.079336738748104,37000.0,183
PA6420018,0.8891269050702639,27.473686203073623,16400.0,184
083890023,0.8882375365704769,683.8121575681974,408600.0,185
IL1230100,0.8876533528957469,209.0560518014366,125000.0,186
PA3480057,0.8875442685159272,3191.642772188445,1908600.0,187
NE3104301,0.8875005511298396,147.484557602529,88200.0,188
IN5237005,0.8871345498357683,7.688766257064998,4600.0,189
NC0319010,0.8869718250340487,271.0628546259658,162200.0,190
CO0106300,0.8868617249253556,369.6156639934661,221200.0,191
IN5217004,0.8868532461991714,376.6300821727067,225400.0,192
IL0311590,0.8864359985966487,18.70573340993029,11200.0,193
MN1790003,0.8860881229910582,5.342397850208724,3200.0,194
DE0000663,0.886087005524191,3753.3636561748635,2248200.0,195
NY3100564,0.8844916980699751,2297.4251360063695,1378600.0,196
MN1860010,0.8840487843786158,305.8146183479189,183600.0,197
MN1750002,0.8839590795137872,73.94766487558485,44400.0,198
KY0710707,0.8838901720542788,36.30480696137858,21800.0,199
IN5285003,0.8836257038531593,1263.2956365604557,758800.0,200
PA6620021,0.8835998952008793,11.986640640685243,7200.0,201
