pwsid
020000016
041210001
043700056
043740039
050594204
050594210
050595310
055294101
055294204
055294401
055294402
055294602
055294603
055294704
055294705
055294708
055294801
055295802
063003615
063005728
063006122
063500110
063500119
063500123
063501001
063504119
063506111
063568423
070000002
070000004
070000007
070000008
070000014
080890010
083090002
083090007
083090009
083090010
083090028
083090038
083090040
083090041
083090062
083090064
083090067
083090090
083090093
083090094
083090095
083090098
083090307
083090311
083090312
083090315
083890017
083890023
083890026
083890037
083890041
084690020
084690021
084690029
084690030
084690437
084690440
084690463
084690467
084690468
084690478
084690484
084690485
084690510
084690516
084690528
084990002
085690002
090400047
090400054
090400057
090400060
090400063
090400076
090400088
090400089
090400092
090400096
090400098
090400101
090400102
090400105
090400106
090400107
090400109
090400110
090400111
090400112
090400114
090400231
090400242
090400243
090400244
090400259
090400260
090400270
090400300
090400302
090400304
090400316
090400393
090400394
090400395
090400673
090400680
090400685
090400691
090400692
090400693
090400699
090400700
090400702
090600021
090600023
090600033
090600038
090600039
090600043
090600120
090600121
090600122
090600126
090600132
090600134
090600135
090600141
090600150
090600156
090600159
090600161
090600193
090600202
090600226
090605004
090605006
090605015
090605020
090605033
090605045
090605073
090605077
090605083
090605109
090605113
090605117
090605118
090605128
090605129
090605132
090605146
090605153
090605154
090605160
090605177
093200067
093200162
093200163
093200164
093200167
093200171
093200172
093200173
093200177
093200200
093200359
093200360
093200362
093200364
093200366
093200373
093200376
093534001
093534003
093534009
093534014
093534020
100211202
101600001
101600002
101612109
101612110
104101100
104101101
104101102
104101247
104111101
104121115
105300002
105300006
105300007
105300008
105300009
105300010
105300011
105300012
105300014
105300017
105300018
105300021
105300022
105300025
105300027
105300028
105300033
105300036
105300047
105300058
105300073
105300084
105300086
105300088
105300089
105300094
105300115
105300119
105300120
105300121
105300123
105300127
105300134
105300147
105311103
105338100
105338101
105338111
105338114
105338118
105388894
1053AA941
AK2110318
AK2110562
AK2110855
AK2111275
AK2111544
AK2111564
AK2111566
AK2119205
AK2120012
AK2120020
AK2120143
AK2120169
AK2120224
AK2120436
AK2120541
AK2120575
AK2121076
AK2121123
AK2121463
AK2121474
AK2121501
AK2121510
AK2130017
AK2130067
AK2130083
AK2130156
AK2133333
AK2210299
AK2210346
AK2210354
AK2210401
AK2210794
AK2210891
AK2211376
AK2211473
AK2211677
AK2211897
AK2212461
AK2212623
AK2212819
AK2212974
AK2213140
AK2213603
AK2213904
AK2214138
AK2215566
AK2216512
AK2218778
AK2218824
AK2220029
AK2220037
AK2220070
AK2220085
AK2220154
AK2220163
AK2220170
AK2220187
AK2220251
AK2220404
AK2220439
AK2220462
AK2220465
AK2220483
AK2222848
AK2222929
AK2223179
AK2223454
AK2223527
AK2223616
AK2223624
AK2223828
AK2224036
AK2224159
AK2224214
AK2224337
AK2224476
AK2225753
AK2225907
AK2225968
AK2225988
AK2225989
AK2226055
AK2226428
AK2226567
AK2227173
AK2227220
AK2227262
AK2227301
AK2227424
AK2227615
AK2240464
AK2240634
AK2240707
AK2240757
AK2240781
AK2240901
AK2241012
AK2241020
AK2241062
AK2241070
AK2241101
AK2241567
AK2241648
AK2242385
AK2242393
AK2243030
AK2243103
AK2243161
AK2243658
AK2244159
AK2244442
AK2244719
AK2244808
AK2244858
AK2245090
AK2246020
AK2248925
AK2249028
AK2249042
AK2249099
AK2249223
AK2249229
AK2249256
AK2249434
AK2249994
AK2250045
AK2250053
AK2250061
AK2250134
AK2250396
AK2250427
AK2250605
AK2250689
AK2260058
AK2260074
AK2260090
AK2260139
AK2260197
AK2260202
AK2260228
AK2260244
AK2260252
AK2260260
AK2260286
AK2260294
AK2260333
AK2260367
AK2260553
AK2260595
AK2260634
AK2260804
AK2260820
AK2261193
AK2261208
AK2261216
AK2261224
AK2261240
