pwsid,p_lead_rich,exp_hidden_lead,inv_cost,rank
IL0110300,0.5876758464208317,4.650465910119222,4200.0,1
IN5266005,0.5777777777777778,225.34115340305272,207000.0,2
AL0000082,0.5694444444444444,3.8624528802362708,3600.0,3
KS2020513,0.555456694872232,305.80159798111055,292200.0,4
TN0000061,0.5500044324447187,146.1149438037432,141000.0,5
MI0004560,0.5474252672243153,15.264967630023936,14800.0,6
OH0700114,0.5324074074074074,359.5186493040157,358400.0,7
NC0299010,0.529138355826348,63.80556383235006,64000.0,8
KY0500305,0.5194713547095924,25.25170129712986,25800.0,9
WI1280103,0.5074582937147455,8.796249016125065,9200.0,10
NC0309010,0.5051985603756373,172.66675225316945,181400.0,11
IN5292004,0.5030539638616135,210.6046535944064,222200.0,12
WV3302835,0.5024515495923776,699.4077011247741,738800.0,13
ND3700314,0.5006613756613757,38.86428100721413,41200.0,14
ND3900333,0.5006613756613757,22.45072543620622,23800.0,15
KY0510188,0.49850961661888143,42.078561816181214,44800.0,16
ND5200338,0.495477643785907,3.547455804325619,3800.0,17
NY2602380,0.4908451080599056,16.646629182812482,18000.0,18
KY0920181,0.4894444444444444,3.6886948373855333,4000.0,19
MO5010141,0.48180253221168035,17.066177595623078,18800.0,20
IN5217004,0.48055555555555546,204.0830082689826,225400.0,21
IN5248004,0.48055555555555546,45.63346768747437,50400.0,22
WI4200405,0.48055555555555546,108.28894316313362,119600.0,23
KS2001305,0.4801709179278961,182.74965077130338,202000.0,24
KS2014706,0.47992066271043615,208.8770675703709,231000.0,25
MN1800004,0.47954384971658165,21.323066514869584,23600.0,26
OH1501512,0.478071781010506,177.44700308398606,197000.0,27
MN1490002,0.4753079071814063,250.92995195353635,280200.0,28
MN1140001,0.47261953811455387,141.22909874375318,158600.0,29
MI0003550,0.47222222222222215,26.513802562705887,29800.0,30
WI2650066,0.47222222222222215,17.260663413305174,19400.0,31
MI0006260,0.47222222222222215,1.7794498364232139,2000.0,32
AL0000738,0.47222222222222215,6555.315252399478,7367800.0,33
IL0313180,0.47222222222222215,9.964919083969997,11200.0,34
IL0150250,0.47222222222222215,249.6568120501769,280600.0,35
KS2001701,0.47222222222222215,23.13284787350178,26000.0,36
AL0000548,0.47222222222222215,70.11032355507463,78800.0,37
DE0000597,0.47222222222222215,204.99262115595425,230400.0,38
IN5224001,0.47089660665195515,131.13219419424667,147800.0,39
TN0000700,0.4668178994870575,61.74388402802835,70200.0,40
PA6620020,0.46230901618077763,870.5245868448669,999400.0,41
WV3304513,0.46098833342992823,1800.0014352571802,2072400.0,42
NC0136034,0.4602625675983149,47.17521507597409,54400.0,43
FL2161328,0.4583333333333333,6831.768485515793,7911200.0,44
VA3131210,0.4583333333333333,39.723600760153516,46000.0,45
MN1860010,0.4583333333333333,158.54898042530837,183600.0,46
NY1101757,0.4583333333333333,124.52485281769863,144200.0,47
KS2019703,0.4583333333333333,34.542261530568275,40000.0,48
MN1640003,0.4583333333333333,39.37817814484783,45600.0,49
NC0158020,0.45787275657845644,18.11646385170331,21000.0,50
WI1540112,0.45782908830556873,1738.669617923793,2015600.0,51
IN5255009,0.45746542655748806,650.578193342833,754800.0,52
PA2640022,0.4563112940742575,2.235341593859408,2600.0,53
WI7290120,0.45011374697650747,12.890661319189727,15200.0,54
IN5225003,0.4468643821687615,10.27176095794603,12200.0,55
KS2011507,0.44388791303056613,167.4351848131868,200200.0,56
MN1060008,0.4386178607746856,75.53388825270449,91400.0,57
IN5283004,0.43860986032230426,266.7603325013938,322800.0,58
VA1077240,0.43762558621927933,8.245405882720693,10000.0,59
NC0392010,0.4307165026428856,1682.4495303211365,2073200.0,60
GA1370003,0.43033047955808995,274.21110825135776,338200.0,61
MO2010745,0.42983299282677817,19.274629469127756,23800.0,62
MO6010715,0.42886107429155756,10403.834586831737,12875600.0,63
ND4200626,0.4285286323316468,20.66946060753894,25600.0,64
NJ0112001,0.4255519863613401,72.16131931075425,90000.0,65
MN1670004,0.4250091326104188,103.45943662947111,129200.0,66
IL0990550,0.425,210.59788814068742,263000.0,67
AL0000904,0.4237690347426502,5.429345324789033,6800.0,68
MO5010408,0.4221215528979993,7.635159138969061,9600.0,69
OH2504412,0.42163090499797967,10369.522592126898,13053200.0,70
MI0004040,0.4211886819381187,108.71928632265771,137000.0,71
MO5010032,0.42089289383151046,43.29857159256445,54600.0,72
WI1570105,0.41929429429429427,61.14616819071467,77400.0,73
ND2100704,0.41929429429429427,59.25016297549871,75000.0,74
IL1270150,0.41929429429429427,112.0223081323429,141800.0,75
NC0161010,0.41929429429429427,195.92053890564907,248000.0,76
WI4690403,0.41929429429429427,87.6902412037381,111000.0,77
ND1600159,0.41929429429429427,122.92433811983466,155600.0,78
SC1310003,0.41929429429429427,67.78218644397053,85800.0,79
KY0480178,0.41929429429429427,261.016717961397,330400.0,80
NJ1439001,0.41929429429429427,73.9442033934224,93600.0,81
MN1280002,0.41929429429429427,52.77214515684419,66800.0,82
MI0003950,0.41929429429429427,61.14616819071467,77400.0,83
TX0220001,0.41929429429429427,256.4347053579584,324600.0,84
MO5010550,0.41929429429429427,49.1381351610136,62200.0,85
IN5250003,0.41929429429429427,51.35014124543222,65000.0,86
WI2650123,0.41929429429429427,111.07430552473492,140600.0,87
MN1280007,0.41929429429429427,218.04059974983525,276000.0,88
NY4700098,0.41884403399248543,16.887891898990613,21400.0,89
FL6080256,0.41728545074993484,33.02112508656127,42000.0,90
MI0003420,0.4166666666666667,104.25482571044243,132800.0,91
KS2002110,0.4143520805302308,35.911759900629534,46000.0,92
IN5268010,0.41242633384562605,106.1466812639339,136600.0,93
IN5285003,0.40768336723853876,582.8538222517648,758800.0,94
MS0240049,0.40740740740740744,21.646483892489456,28200.0,95
MN1790013,0.4069152422269995,100.12821365138237,130600.0,96
MI0004490,0.4061884669479607,81.88808200329949,107000.0,97
IN5292007,0.4061494780075286,86.47163609192192,113000.0,98
NC0326010,0.40277777777777773,4791.283825441273,6313600.0,99
MN1760008,0.40277777777777773,115.04666560075027,151600.0,100
ND0900492,0.40239399906715595,21.5317420700015,28400.0,101
FL2040211,0.4002295906212085,156.84903926367778,208000.0,102
IN5250005,0.3987368327008927,26.895443785171842,35800.0,103
OH4900812,0.39785513361462727,42.7276645290519,57000.0,104
MO2010271,0.39785513361462727,88.90352654641326,118600.0,105
MD0210012,0.39785513361462727,109.29286821641698,145800.0,106
MN1290003,0.39785513361462727,54.42155166331874,72600.0,107
IN5237005,0.39785513361462727,3.448197488309452,4600.0,108
MI0000380,0.39785513361462727,92.5016456646492,123400.0,109
OH6000212,0.39785513361462727,52.47257047427427,70000.0,110
MO4010354,0.39785513361462727,125.78424750833175,167800.0,111
KS2011313,0.39785513361462727,56.67037611221621,75600.0,112
IL1235150,0.39785513361462727,27.13581501669612,36200.0,113
IN5264029,0.39785513361462727,188.75133207746086,251800.0,114
VA2165270,0.39313874702297613,69.3315694186344,93600.0,115
TX0950002,0.39064354011408464,22.816639154360743,31000.0,116
NY3304335,0.3895502645502645,20.404108901653355,27800.0,117
MN1690004,0.3895502645502645,69.87306357688487,95200.0,118
TX1460001,0.3895502645502645,28.771261472834947,39200.0,119
OK1011303,0.3895502645502645,3516.8463386029575,4791600.0,120
PA6270008,0.3895502645502645,5.578101714121061,7600.0,121
MN1230006,0.3895502645502645,62.827040359047736,85600.0,122
NY4404381,0.3895502645502645,194.35280709200748,264800.0,123
VA1169650,0.3895502645502645,46.09273521668456,62800.0,124
ME0091280,0.3895502645502645,138.13141349968205,188200.0,125
NC0459015,0.3895502645502645,14.679215037160686,20000.0,126
WI2410595,0.3895502645502645,111.268449981678,151600.0,127
IA1750048,0.38888888888888884,104.48510745397955,142600.0,128
ND5100515,0.38888888888888884,41.911277323756174,57200.0,129
WI6490343,0.38888888888888884,47.040279793446615,64200.0,130
WI2300046,0.38888888888888884,1079.874834261396,1473800.0,131
