pwsid,name,state,must_replace,unknown,pop,lead90,exposure_per_line,cost_total,priority_rank
CA3610053,WESTERN HEIGHTS WATER COMPANY,CA,1462.0,28.0,7705,0.0,3.339835283918509,6877000.0,2169
AL0000264,ASHLAND WATER & SEWER BOARD,AL,23.0,0.0,2925,0.00026,3.33973063973064,108100.0,2170
NY4404385,GOUVERNEUR,NY,33.0,901.0,4263,0.00225,3.3395435967302447,335300.0,2171
IN5232019,PITTSBORO WATER COMPANY,IN,275.0,14.0,4113,0.0057,3.3387882352941176,1295300.0,2172
TN0000400,LEWISBURG WATER SYSTEM,TN,532.0,4368.0,24569,0.001,3.338037617288668,3374000.0,2173
MI0001440,CLAWSON,MI,561.0,165.0,11825,0.0062,3.337860328872911,2669700.0,2174
PA6330007,FALLS CREEK BORO MUN AUTH,PA,27.0,474.0,1440,0.006,3.337748344370861,221700.0,2175
KS2012106,"LOUISBURG, CITY OF",KS,2.0,13.0,4994,0.0054,3.3375135135135134,12000.0,2176
IN5245020,HAMMOND WATER WORKS DEPARTMENT,IN,23124.0,4518.0,78384,0.003,3.337501330589362,109586400.0,2177
NJ2013001,RAHWAY WATER DEPARTMENT,NJ,596.0,753.0,27300,0.0,3.337408312958435,2951800.0,2178
NJ0329004,PEMBERTON TWP DEPT MAIN,NJ,65.0,0.0,12378,0.00125,3.337356893977103,305500.0,2179
TX1160004,CITY OF GREENVILLE,TX,15.0,1079.0,33354,0.00192,3.33687911308204,286300.0,2180
MO4010732,SENATH PWS,MO,146.0,0.0,1767,0.00548,3.3368520055325037,686200.0,2181
MN1820016,Oakdale,MN,41.0,3598.0,28674,0.002,3.3361256544502615,912300.0,2182
TX0300002,CITY OF CLYDE,TX,44.0,163.0,3820,0.00677,3.335796229442439,239400.0,2183
NE3104309,"SOUTH SIOUX CITY, CITY OF",NE,270.0,3312.0,14043,0.0011,3.3354326178358042,1931400.0,2184
NY3304307,BALDWINSVILLE VILLAGE,NY,58.0,1777.0,9200,0.004,3.335241366151498,628000.0,2185
TX2460004,CITY OF TAYLOR,TX,17.0,2575.0,20622,0.00193,3.335057171514544,594900.0,2186
MT0000187,COOKE CITY WATER DISTRICT,MT,1.0,32.0,300,0.002,3.3333333333333335,11100.0,2187
GA1770001,SMITHVILLE,GA,18.0,0.0,770,0.0,3.3333333333333335,84600.0,2188
VT0005013,ARLINGTON WATER DEPT,VT,43.0,296.0,1250,0.0022,3.3333333333333335,261300.0,2189
VA6153676,"QUANTICO, TOWN OF",VA,6.0,21.0,650,0.0,3.3333333333333335,32400.0,2190
TX2210010,TUSCOLA-TAYLOR COUNTY WCID 1,TX,7.0,189.0,1890,0.0,3.3333333333333335,70700.0,2191
NY3202387,DEANSBORO WATER DISTRICT (SW/GU),NY,30.0,2.0,450,0.001,3.3333333333333335,141400.0,2192
MN1030003,Twin Haven Estates,MN,60.0,0.0,200,0.0,3.3333333333333335,282000.0,2193
AZ0402104,WHETSTONE VILLAGE MHP,AZ,27.0,0.0,50,0.012,3.3333333333333335,126900.0,2194
DE0000982,SAND HILL MOBILE HOME PARK,DE,1.0,9.0,120,0.0,3.3333333333333335,6500.0,2195
IN5262005,TROY WATER UTILITY,IN,36.0,249.0,1223,0.0,3.332425068119891,219000.0,2196
WI6180230,EAU CLAIRE WATERWORKS,WI,101.0,6337.0,70587,0.002,3.3321642785738086,1742100.0,2197
LA1019044,SULPHUR CITY OF WATER SYSTEM,LA,23.0,889.0,24489,0.002,3.3318367346938773,285900.0,2198
GA0510000,GARDEN CITY,GA,1413.0,597.0,9000,0.0054,3.3315187806205775,6760500.0,2199
MI0005800,ROOSEVELT PARK,MI,331.0,0.0,4172,0.0019,3.3312922277344676,1555700.0,2200
PA2590031,TIOGA BORO MUNICIPAL AUTHORITY,PA,1.0,0.0,615,0.011,3.3312500000000003,4700.0,2201
NY2800137,CANAJOHARIE (V) WATER WORKS,NY,178.0,156.0,2300,0.0022,3.32996632996633,867800.0,2202
PA5020004,BLAWNOX BORO WATER DEPT,PA,1.0,648.0,2200,0.002,3.3288829550511796,134300.0,2203
FL4500565,"GULFSTREAM, TOWN OF",FL,56.0,0.0,1001,0.0043,3.328044788975021,263200.0,2204
VA2043125,"BERRYVILLE, TOWN OF",VA,87.0,808.0,4574,0.00609,3.3269756854630113,570500.0,2205
GA0690001,BROXTON,GA,256.0,5.0,1353,0.0065,3.3264150943396227,1204200.0,2206
TX1260007,CITY OF GODLEY,TX,62.0,0.0,1367,0.0,3.3260340632603405,291400.0,2207
PA3540011,MAHANOY TWP AUTH,PA,25.0,833.0,5584,0.004,3.3253721987149345,284100.0,2208
MI0004780,NORTH MUSKEGON,MI,1153.0,0.0,3786,0.0065,3.325122549019608,5419100.0,2209
NE3113104,"SYRACUSE, CITY OF",NE,110.0,35.0,1962,0.0125,3.324399260628466,524000.0,2210
WI4600446,PLYMOUTH UTILITIES,WI,809.0,295.0,8964,0.00617,3.322266806722689,3861300.0,2211
MO1024275,JACKSON COUNTY PWSD 1,MO,1.0,1079.0,24500,0.00345,3.3221254547458936,220500.0,2212
NY2402364,HARRISVILLE (DIANA WD 1),NY,9.0,231.0,700,0.0055,3.321759259259259,88500.0,2213
MN1490004,Rich Prairie Sewer and Water District,MN,55.0,88.0,1531,0.007,3.321696252465484,276100.0,2214
KS2001305,"HIAWATHA, CITY OF",KS,164.0,1010.0,3246,0.0085,3.3216198563030708,972800.0,2215
TX1870166,LAKE LIVINGSTON PINESHADOWS EAST,TX,2.0,1.0,5675,0.0,3.320655354008192,9600.0,2216
MO5036054,SUNSET HEIGHTS 2ND ADDITION,MO,13.0,0.0,37,0.0025,3.3205128205128207,61100.0,2217
FL5260050,CITY OF LABELLE,FL,75.0,124.0,6790,0.0036,3.318722901064249,377300.0,2218
OH2201411,SANDUSKY CITY,OH,6726.0,1834.0,25793,0.005,3.3186014345910135,31979000.0,2219
NY5203330,LIVINGSTON MANOR WD,NY,5.0,301.0,1500,0.0,3.3185840707964602,83700.0,2220
AL0000788,LEXINGTON WATER WORKS,AL,57.0,57.0,2910,0.00125,3.318421052631579,279300.0,2221
WI4190155,FLORENCE UTILITY COMMISSION,WI,1.0,1.0,1250,0.00041,3.3182601205857023,4900.0,2222
MN1820024,Stillwater,MN,799.0,0.0,19462,0.002,3.3173309269564344,3755300.0,2223
MI0000240,"ARMADA, VILLAGE OF",MI,154.0,0.0,1794,0.002,3.3168026101141925,723800.0,2224
NJ1424001,SOUTHEAST MORRIS COUNTY MUA,NJ,179.0,18818.0,62349,0.0015,3.3162758087133124,4604900.0,2225
IL0311800,MATTESON,IL,580.0,0.0,18293,0.00405,3.3141383737517836,2726000.0,2226
IN5210010,SELLERSBURG WATER DEPARTMENT,IN,1.0,3093.0,15655,0.0,3.3139288738357324,623300.0,2227
MI0003090,HASTINGS,MI,1550.0,0.0,7350,0.003,3.312054074352234,7285000.0,2228
VA5143210,"GRETNA, TOWN OF",VA,24.0,33.0,2500,0.0,3.3112582781456954,119400.0,2229
NY2602381,ONEIDA CITY,NY,465.0,75.0,11393,0.0023,3.3098052057094876,2200500.0,2230
NJ1614001,TOWNSHIP OF WAYNE,NJ,36.0,0.0,55000,0.0,3.3096642195210015,169200.0,2231
NJ1224001,SPOTSWOOD W DEPT,NJ,5.0,2130.0,8300,0.00231,3.3085319516407594,449500.0,2232
TX1610007,MATAGORDA COUNTY WCID 6,TX,80.0,0.0,1518,0.0,3.30718954248366,376000.0,2233
AL0001047,FRISCO CITY WATER SYSTEM,AL,281.0,132.0,2100,0.0034,3.3068035943517327,1347100.0,2234
NY0100195,GREEN ISLAND VILLAGE,NY,26.0,603.0,2900,0.0026,3.3067703271784907,242800.0,2235
HI0000309,WAIALUA SUGAR PUMP 2,HI,3.0,109.0,400,0.0,3.3057851239669422,35900.0,2236
CT0320051,CTWC - SOUTH COVENTRY SYSTEM,CT,10.0,64.0,501,0.0039,3.3050261780104715,59800.0,2237
IA9525047,FOREST CITY WATER SUPPLY,IA,298.0,0.0,4285,0.005,3.3044148833622518,1400600.0,2238
NY3704363,PHOENIX VILLAGE,NY,19.0,632.0,2138,0.0012,3.303347639484979,215700.0,2239
NJ0108004,NORMS DALE MOBILE HOME PARK,NJ,49.0,0.0,250,0.00244,3.303030303030303,230300.0,2240
MI0005650,"REED CITY, CITY OF",MI,258.0,0.0,2425,0.004,3.3028673835125444,1212600.0,2241
KY0380193,HICKMAN WATER DEPARTMENT,KY,11.0,308.0,3191,0.002,3.3027092846270927,113300.0,2242
NE3115104,"CRETE, CITY OF",NE,109.0,0.0,7566,0.00157,3.302215725009878,512300.0,2243
CA2810007,TOWN OF YOUNTVILLE,CA,15.0,0.0,2787,0.0,3.302132701421801,70500.0,2244
WI1130251,OREGON WATERWORKS,WI,3.0,923.0,11200,0.00497,3.3018010038382046,198700.0,2245
FL3640275,"DAYTONA BEACH, CITY OF",FL,14.0,18888.0,87534,0.0033,3.3017400445213947,3843400.0,2246
ME0090410,GREAT SALT BAY SANITARY DISTRICT,ME,1.0,2.0,2143,0.0012,3.301626248216833,5100.0,2247
MN1620030,Vadnais Heights,MN,1.0,863.0,13025,0.001,3.300079176563737,177300.0,2248
TX1260017,BETHESDA WSC,TX,241.0,32.0,33441,0.0017,3.299741203580608,1139100.0,2249
CA1510017,INDIAN WELLS VALLEY W.D.,CA,78.0,79.0,41580,0.0,3.2994762736073637,382400.0,2250
SC0410003,HONEA PATH TOWN OF (SC0410003),SC,112.0,1389.0,4386,0.002,3.298473788984738,804200.0,2251
TX1010062,CITY OF SEABROOK,TX,38.0,0.0,13560,0.0,3.2976653696498053,178600.0,2252
NJ1438004,WASHINGTON TWP MUA-SCHOO,NJ,6.0,1506.0,4986,0.0,3.2976190476190474,329400.0,2253
NJ1922005,VEOLIA WATER NJ GRANDVIEW ESTATES,NJ,3.0,7.0,59,0.00344,3.2968484848484847,15500.0,2254
KY0700401,SMITHLAND WATER & SEWER,KY,1.0,0.0,989,0.0021,3.2966666666666664,4700.0,2255
IN5217004,GARRETT WATER UTILITY,IN,171.0,1127.0,6390,0.005,3.295938104448743,1029100.0,2256
VT0005160,MORRISVILLE WATER AND LIGHT,VT,9.0,0.0,2935,0.0024,3.2958373668925454,42300.0,2257
AL0001131,WEDOWEE WATER SEWER & GAS BOARD,AL,2.0,0.0,7782,0.002,3.295814648729447,9400.0,2258
KY0490096,CYNTHIANA MUNICIPAL WATER WORKS,KY,268.0,609.0,7263,0.005,3.2949982987410684,1381400.0,2259
AL0001265,"ALEXANDER CITY, CITY OF",AL,1141.0,96.0,32556,0.00037,3.2943954177365193,5381900.0,2260
NY0200319,FRIENDSHIP TOWN WATER DISTRICT,NY,48.0,11.0,1380,0.0,3.2935560859188544,227800.0,2261
NE3114504,"MCCOOK, CITY OF",NE,445.0,2744.0,7450,0.012,3.293222003929273,2640300.0,2262
PA6430037,AQUA PA GREENVILLE,PA,335.0,1572.0,8600,0.00084,3.2928208846990574,1888900.0,2263
TX1140001,CITY OF BIG SPRING,TX,811.0,462.0,27282,0.00305,3.2928124373119356,3904100.0,2264
PA1150108,KENNETT SQUARE MUN WATER WORKS,PA,1.0,1622.0,6328,0.0,3.292403746097815,329100.0,2265
IN5205002,HARTFORD CITY WATER WORKS,IN,6.0,1789.0,5600,0.0074,3.29238845144357,386000.0,2266
MO1010415,KANSAS CITY PWS,MO,22951.0,24827.0,513800,0.00208,3.2916440208472824,112835100.0,2267
FL3051460,WEST MELBOURNE WTR SYS(CONSEC),FL,1.0,1367.0,30443,0.0011,3.29157718008126,278100.0,2268
TX1012987,CITY OF HILSHIRE VILLAGE,TX,4.0,0.0,945,0.00407,3.2915342465753423,18800.0,2269
MN1250013,Red Wing,MN,525.0,2255.0,16459,0.002,3.291025641025641,2918500.0,2270
NC0464020,"NASHVILLE, TOWN OF",NC,53.0,13.0,5900,0.0,3.290574456218628,251700.0,2271
GA2210001,LEXINGTON,GA,3.0,0.0,1015,0.0027,3.2903846153846152,14100.0,2272
WY5600137,"DOUGLAS, CITY OF",WY,8.0,660.0,6400,0.006,3.28928046989721,169600.0,2273
VA3710100,"NORFOLK, CITY OF",VA,880.0,14152.0,234220,0.0,3.2892371643635547,6966400.0,2274
VA2043250,CLARKE COUNTY SANITARY AUTHORITY,VA,1.0,0.0,1287,0.0034,3.2889999999999997,4700.0,2275
KY0450410,CITY OF SOUTH SHORE WATER WORKS,KY,192.0,0.0,6798,0.002,3.2882629107981223,902400.0,2276
MN1860005,Buffalo,MN,71.0,932.0,16711,0.002,3.2880439814814815,520100.0,2277
LA1107009,TENSAS WATER DISTRICT ASSOCIATION,LA,1.0,939.0,3843,0.0021,3.2865866466616653,192500.0,2278
GA1750002,DUBLIN,GA,2259.0,3250.0,15392,0.0097,3.286074592679027,11267300.0,2279
PR0005597,MAGUAYO,PR,1.0,4783.0,31880,0.006,3.2853882959146117,961300.0,2280
NC0421010,"EDENTON, TOWN OF",NC,358.0,0.0,5500,0.005,3.2840722495894914,1682600.0,2281
NC0416025,HARKERS ISLAND SANITARY DIST,NC,17.0,375.0,2586,0.005,3.2838095238095244,154900.0,2282
WA5311060,CAPE HORN MAINTENANCE COMPANY,WA,9.0,41.0,940,0.0014,3.283493077742279,50500.0,2283
MN1810004,Waseca,MN,64.0,1985.0,9241,0.003,3.2827708703374774,697800.0,2284
NE3107902,"GRAND ISLAND, CITY OF",NE,321.0,2794.0,51478,0.00198,3.2822516615973867,2067500.0,2285
KS2001102,"FULTON, CITY OF",KS,9.0,3.0,165,0.0023,3.2810344827586206,42900.0,2286
VA2005160,CLIFTONDALE PARK/ WILSON CREEK/ SHARON,VA,12.0,143.0,1860,0.0027,3.2807174887892376,85000.0,2287
083090312,HOT SPRINGS COURT,WA,1.0,18.0,55,0.002,3.280701754385965,8300.0,2288
PR0002752,CIALES URBANO,PR,3.0,726.0,4563,0.006,3.2793634496919917,159300.0,2289
NY6101262,DUNDEE VILLAGE,NY,122.0,384.0,1765,0.0025,3.278927813163482,650200.0,2290
IL1610450,MOLINE,IL,4732.0,2416.0,44500,0.004,3.2784660423815892,22723600.0,2291
OH1101212,URBANA CITY PWS,OH,1292.0,1593.0,11428,0.0055,3.278393506856983,6391000.0,2292
PR0004955,AIBONITO URBANO,PR,3.0,908.0,5524,0.006,3.278338278931751,195700.0,2293
GA0330001,MIDVILLE,GA,29.0,0.0,776,0.0016,3.277760814249364,136300.0,2294
TN0000045,BELLS PUBLIC UTILITY DISTRICT,TN,13.0,18.0,2610,0.0041,3.2775147928994084,64700.0,2295
NY2902815,ALBERTSON WD,NY,5.0,32.0,13500,0.0,3.2759039068187334,29900.0,2296
CA1110001,CITY OF ORLAND,CA,10.0,773.0,8298,0.00077,3.274761261261261,201600.0,2297
AL0000162,OXFORD WATER WORKS & SEWER BOARD,AL,618.0,3573.0,31239,0.001,3.2722773249533534,3619200.0,2298
PA7220015,VEOLIA WATER,PA,186.0,0.0,110000,0.0021,3.2722718020980115,874200.0,2299
TX0910012,CITY OF GUNTER,TX,2.0,7.0,2772,0.0012,3.2718688524590167,10800.0,2300
GA2730000,BRONWOOD,GA,30.0,8.0,529,0.0028,3.2695138888888895,142600.0,2301
MN1050004,Sauk Rapids,MN,199.0,0.0,13835,0.0,3.26913988657845,935300.0,2302
WI1140058,JUNEAU WATERWORKS,WI,1.0,1.0,2627,0.0029,3.2689120611748352,4900.0,2303
NY3505661,BRAESIDE AQUA CORPORATION,NY,7.0,0.0,323,0.002,3.268452380952381,32900.0,2304
MN1650012,Renville,MN,16.0,514.0,1301,0.007,3.2673515981735166,178000.0,2305
NC0201018,"MEBANE, CITY OF",NC,37.0,995.0,20212,0.0,3.266321913380737,372900.0,2306
IA0610099,BELLE PLAINE WATER DEPT,IA,150.0,397.0,2380,0.0098,3.2655048409405256,784400.0,2307
KY1170361,PROVIDENCE WATER WORKS,KY,2.0,1187.0,4538,0.002,3.2654391534391536,246800.0,2308
OH2500103,BEXLEY CITY PWS,OH,367.0,2679.0,14250,0.0,3.265352887259395,2260700.0,2309
WI1280104,JEFFERSON WATERWORKS,WI,335.0,0.0,7926,0.0035,3.26499665998664,1574500.0,2310
IL0915030,AQUA ILLINOIS-KANKAKEE,IL,2082.0,447.0,80000,0.0024,3.264502057902698,9874800.0,2311
NJ0814001,PAULSBORO WATER DEPARTMENT,NJ,32.0,11.0,6097,0.00279,3.2616337392873254,152600.0,2312
TX1610022,HOLIDAY HARBOR SUBDIVISION,TX,2.0,0.0,75,0.0,3.260869565217391,9400.0,2313
IN5228009,SWITZ CITY WATER WORKS,IN,6.0,306.0,888,0.004,3.2602898550724633,89400.0,2314
IL1410100,BYRON,IL,86.0,0.0,4743,0.00624,3.2602368932038837,404200.0,2315
VA5037300,"KEYSVILLE, TOWN OF",VA,58.0,0.0,800,0.0081,3.259259259259259,272600.0,2316
IN5227020,SWAYZEE WATER UTILITY,IN,14.0,444.0,975,0.00846,3.2583333333333337,154600.0,2317
VA3650150,FORT MONROE,VA,8.0,47.0,600,0.003,3.257918552036199,47000.0,2318
PR0003904,SANTA ISABEL URBANO,PR,4.0,5023.0,39884,0.006,3.257546234175369,1023400.0,2319
TN0000104,CHAPEL HILL WATER SYSTEM,TN,20.0,253.0,3426,0.001,3.257040998217469,144600.0,2320
NJ1922001,VEOLIA WATER NEW JERSEY BARRY LAKES,NJ,1.0,5.0,136,0.00332,3.2568888888888887,5700.0,2321
NE3120158,VALLEY VIEW ESTATES,NE,2.0,0.0,91,0.0054,3.2568421052631584,9400.0,2322
ND3500842,RUGBY CITY OF,ND,11.0,474.0,2876,0.00856,3.256840182648402,146500.0,2323
TX0100016,FLYING L PUD,TX,1.0,256.0,837,0.0,3.2568093385214008,55900.0,2324
MN1860024,Joint Powers Water Board,MN,2.0,784.0,30922,0.001,3.2563398821864613,166200.0,2325
IN5229015,INDIANA AMERICAN WATER - NOBLESVILLE,IN,199.0,1435.0,45575,0.005,3.255647825698724,1222300.0,2326
NJ1212001,MILLTOWN W DEPT,NJ,92.0,2506.0,7000,0.0032,3.255397981346621,933600.0,2327
IA8676027,TOLEDO WATER SUPPLY,IA,165.0,313.0,2399,0.0,3.255088195386703,838100.0,2328
TX2530002,ZAPATA COUNTY WATERWORKS SWTP,TX,23.0,490.0,13736,0.0019,3.2532884871417562,206100.0,2329
IL0311770,MARKHAM,IL,1239.0,149.0,12500,0.00297,3.252606429192007,5853100.0,2330
CO0107473,LAFAYETTE CITY OF,CO,9.0,755.0,28700,0.002,3.2523414325234143,193300.0,2331
VA6099250,FAIRVIEW BEACH-POTOMAC LANDING,CA,1.0,48.0,928,0.0056,3.2511564625850338,14300.0,2332
MN1700003,Jordan,MN,19.0,305.0,6700,0.0,3.2508491023774866,150300.0,2333
MN1730006,Cold Spring,MN,78.0,350.0,4201,0.003,3.250290135396518,436600.0,2334
CT1500021,AQUARION-JUDEA MAIN,CT,3.0,70.0,219,0.0037,3.250238095238095,28100.0,2335
WI2650058,GENOA CITY WATERWORKS,WI,199.0,0.0,2766,0.00456,3.249427027027027,935300.0,2336
AL0000905,TRIANA WATER WORKS,AL,9.0,0.0,7038,0.0,3.2493074792243766,42300.0,2337
PA3540014,KLINE TOWNSHIP MUN AUTHORITY,PA,14.0,2024.0,6700,0.0,3.2492725509214355,470600.0,2338
NY0301672,PORT DICKINSON VILLAGE,NY,10.0,416.0,1785,0.001,3.249146757679181,130200.0,2339
NC0363025,"CARTHAGE, TOWN OF",,12.0,5.0,4255,0.0047,3.248972868217055,57400.0,2340
NJ0303001,BORDENTOWN WATER DEPARTM,NJ,257.0,2262.0,15821,0.00133,3.248546837671319,1660300.0,2341
IL1630800,MASCOUTAH,IL,5.0,0.0,8759,0.006,3.248370860927152,23500.0,2342
TX1780015,VIOLET WSC,TX,18.0,0.0,2670,0.00208,3.2481196581196583,84600.0,2343
NJ1107002,AQUA NJ - LAWRENCE,NJ,39.0,22.0,8655,0.0,3.24765478424015,187700.0,2344
CA1910040,"EL SEGUNDO-CITY, WATER DEPT.",CA,145.0,179.0,16445,0.0,3.247432859399684,717300.0,2345
KS2016902,"ASSARIA, CITY OF",KS,1.0,0.0,427,0.0085,3.247411003236247,4700.0,2346
MN1290003,Park Rapids,MN,177.0,363.0,4298,0.005,3.2468366383380554,904500.0,2347
NJ1615012,VEOLIA WATER NEW JERSEY - AWOSTING,NJ,14.0,4.0,633,0.0,3.246153846153846,66600.0,2348
TN0000478,MOSHEIM UTILITY DISTRICT,TN,71.0,146.0,2270,0.001,3.2457551385165324,362900.0,2349
NY1800547,MCWA GENESEE,NY,131.0,278.0,16541,0.0054,3.2456730630500656,671300.0,2350
IL0910650,MOMENCE,IL,1.0,1159.0,3075,0.0073,3.2444996451383963,236500.0,2351
PA1460048,NORTH WALES WATER AUTHORITY,PA,5.0,17382.0,72496,0.0016,3.2441935570831646,3499900.0,2352
MI0004390,"MILFORD, VILLAGE OF",MI,84.0,0.0,6366,0.004,3.2436041834271925,394800.0,2353
TX1010015,CITY OF JACINTO CITY,TX,589.0,0.0,9613,0.0,3.2432523616734144,2768300.0,2354
PA7360112,QUARRYVILLE BORO,PA,10.0,617.0,3150,0.005,3.2432432432432434,170400.0,2355
CA0600013,COLUSA CO. WWD #2 - PRINCETON,CA,10.0,102.0,382,0.0013,3.2430208333333335,67400.0,2356
PA2400085,AQUA PA BARRETT,PA,4.0,4.0,107,0.005,3.2424242424242427,19600.0,2357
TX1020004,CITY OF HALLSVILLE,TX,2.0,1500.0,5580,0.0,3.242300987797792,309400.0,2358
OH3200111,FINDLAY CITY PWS,OH,28.0,0.0,54040,0.0021,3.2417175331509154,131600.0,2359
OH8502712,ORRVILLE CITY PWS,OH,284.0,151.0,8452,0.0028,3.2416634346046114,1365000.0,2360
AL0001107,REFORM WATER & SEWER BOARD,AL,8.0,640.0,2376,0.0,3.241473396998636,165600.0,2361
HI0000212,WAILUKU,HI,293.0,13359.0,74511,0.0,3.2411588150854755,4048900.0,2362
OH4901112,MID-OHIO WSD PLAIN CITY WTP,OH,180.0,368.0,4467,0.0053,3.2397320471596998,919600.0,2363
MN1040014,Blackduck,MN,3.0,94.0,826,0.002,3.2392156862745094,32900.0,2364
MN1220001,Blue Earth Light and Water,MN,237.0,540.0,3174,0.011,3.238140082401413,1221900.0,2365
WI6490334,CLAYTON WATERWORKS,WI,8.0,53.0,765,0.0043,3.237828947368421,48200.0,2366
KY0860426,TOMPKINSVILLE WATER WORKS,KY,324.0,9.0,2404,0.007,3.2377104377104375,1524600.0,2367
NJ1013001,HAMPTON BOROUGH WATER DEPART,NJ,8.0,0.0,1401,0.0015,3.237605042016807,37600.0,2368
WI2410168,GLENDALE WATERWORKS,WI,11.0,59.0,12883,0.0018,3.2373704285393763,63500.0,2369
MN1040002,Bemidji,MN,116.0,332.0,15147,0.0,3.237230177388331,611600.0,2370
PR0005376,LAS PIEDRAS HUMACAO,PR,2.0,4068.0,36032,0.006,3.2367532884183507,823000.0,2371
TX0200001,CITY OF ALVIN,TX,243.0,0.0,26244,0.0,3.2364039955604884,1142100.0,2372
OK3003903,LATIMER CO. RWD #2,OK,2.0,331.0,1500,0.00328,3.2353982300884954,75600.0,2373
OH7400614,AQUA OHIO - TIFFIN,OH,2164.0,4065.0,20279,0.0054,3.2351249266862174,10983800.0,2374
RI1615610,EAST PROVIDENCE-CITY OF,RI,47.0,6930.0,47618,0.0009,3.2349599436005896,1606900.0,2375
WI1250082,LINDEN WATERWORKS,WI,3.0,0.0,547,0.00433,3.2334892966360855,14100.0,2376
MT0000270,LAUREL MUNICIPAL WATER SYSTEM,MT,9.0,1605.0,6339,0.002,3.2332133213321335,363300.0,2377
IL0312190,OAK FOREST,IL,5.0,6801.0,27478,0.0,3.23308624544064,1383700.0,2378
VA6113200,"MADISON, TOWN OF",VA,5.0,104.0,784,0.003,3.2329896907216495,44300.0,2379
TX2270083,TRAVIS COUNTY WCID 18,TX,8.0,689.0,5733,0.00102,3.2327581837381207,175400.0,2380
MD0010008,CITY OF CUMBERLAND,MD,6.0,8916.0,27039,0.001,3.232638421878503,1811400.0,2381
PR0002682,QUEBRADILLAS URBANO,PR,6.0,4169.0,27458,0.006,3.2319825121910206,862000.0,2382
VA2165598,MOUNT CRAWFORD-RCPW,VA,1.0,22.0,481,0.00384,3.230673796791444,9100.0,2383
NY2800143,ST. JOHNSVILLE VILLAGE WATER WORKS,NY,344.0,23.0,1700,0.0025,3.230184581976113,1621400.0,2384
AL0000666,NEWVILLE WATER SYSTEM,AL,67.0,0.0,900,0.0033,3.229411764705882,314900.0,2385
NY3100586,WILSON VILLAGE,NY,251.0,2.0,1213,0.006,3.2285171102661594,1180100.0,2386
NJ0809002,NJ AMERICAN WATER - LOGAN,NJ,9.0,2048.0,6650,0.003,3.2281553398058254,451900.0,2387
NY2501012,AVON VILLAGE,NY,27.0,20.0,3000,0.0034,3.2280701754385963,130900.0,2388
TX1850001,BOVINA MUNICIPAL WATER SYSTEM,TX,1.0,0.0,1874,0.00463,3.22689649122807,4700.0,2389
WI2680227,OCONOMOWOC WATERWORKS,WI,720.0,0.0,15805,0.0068,3.2265674017886408,3384000.0,2390
MT0000229,GLENDIVE  CITY OF,MT,2.0,2113.0,4873,0.006,3.225626477541371,432000.0,2391
TN0000488,MOUNT PLEASANT WATER SYS #1,TN,49.0,2145.0,8914,0.001,3.225327905924921,659300.0,2392
MN1270046,Robbinsdale,MN,1.0,8.0,14646,0.002,3.224946570817952,6300.0,2393
MN1210001,Alexandria,MN,25.0,58.0,15000,0.0,3.224419604471195,129100.0,2394
MO6010715,ST LOUIS CITY PWS,MO,10515.0,64378.0,304709,0.0018,3.223428825101773,62296100.0,2395
OK1011303,LAWTON,OK,656.0,23958.0,92757,0.002,3.223395578450311,7874800.0,2396
PA2080003,CANTON BOROUGH AUTHORITY,PA,17.0,161.0,2050,0.005,3.2232704402515724,112100.0,2397
TX1010536,LOUETTA ROAD UTILITY DISTRICT,TX,1.0,0.0,1410,0.000807,3.223119305856833,4700.0,2398
NJ0710001,LIVINGSTON TWP DIV OF WATER,NJ,4.0,8493.0,27391,0.00418,3.2226682615629985,1717400.0,2399
VT0005247,WEBSTERVILLE WATER SYSTEM,VT,2.0,90.0,367,0.0012,3.222439024390244,27400.0,2400
IL1110900,UNION,IL,100.0,0.0,594,0.0068,3.221194029850746,470000.0,2401
FL6521417,OLDSMAR WATER SYSTEM,FL,9.0,3841.0,14898,0.0026,3.220991339598305,810500.0,2402
MN1820013,Mahtomedi,MN,79.0,62.0,8818,0.0,3.220598977355734,383700.0,2403
WY5601182,"ROCK SPRINGS, CITY OF",WY,12.0,45.0,24000,0.003,3.22039584032204,65400.0,2404
VT0005107,CANAAN FD #2,VT,1.0,54.0,350,0.0017,3.2203856749311295,15500.0,2405
VT0005342,MOUNT ASCUTNEY MHP,VT,1.0,11.0,42,0.0034,3.2199999999999998,6900.0,2406
MO4011441,DESLOGE PWS,MO,34.0,1911.0,5034,0.00369,3.219899383983573,542000.0,2407
NJ0712001,NJ AMERICAN WATER - SHORT HILLS,NJ,5020.0,46604.0,217230,0.003,3.2197327141127934,32914800.0,2408
NJ1901001,ANDOVER BORO WATER DEPT,NJ,7.0,11.0,606,0.00317,3.2195964912280703,35100.0,2409
FL6511255,NEW PORT RICHEY WATER DEPT,FL,702.0,3763.0,33000,0.002,3.218865651088734,4052000.0,2410
NY0600366,JAMESTOWN BPU,NY,7.0,2851.0,46712,0.0031,3.2175940936941045,603100.0,2411
IL2030200,EUREKA,IL,76.0,218.0,5216,0.0048,3.217345794392523,400800.0,2412
VT0005039,HARDWICK TOWN WATER SYSTEM,VT,22.0,314.0,1900,0.0032,3.215248721524872,166200.0,2413
MT0000524,HAVRE  CITY OF,MT,140.0,2.0,9921,0.003,3.21414686825054,658400.0,2414
