pwsid,name,state,must_replace,unknown,pop,lead90,exposure_per_line,cost_total,priority_rank
PA2450040,SKYTOP LODGE INC,PA,2.0,34.0,300,0.02545,14.677083333333336,16200.0,59
PA3390078,LCA WASHINGTON TOWNSHIP DIV,PA,2.0,303.0,965,0.038,14.589253187613842,70000.0,60
PA4190014,BENTON MUNICIPAL WATER AUTH,PA,1.0,201.0,1333,0.036,14.541818181818181,44900.0,61
IL0312340,PALATINE,IL,533.0,56.0,70875,0.016,14.526005442999697,2516300.0,62
NH2361010,TROY WATER WORKS,NH,23.0,430.0,1200,0.037,14.481236203090509,194100.0,63
PA2400078,AQUA PA FOREST PARK,PA,3.0,53.0,420,0.017,14.466666666666669,24700.0,64
NY2902824,GARDEN CITY (V),NY,1276.0,3824.0,23272,0.0194,14.355524904214558,6762000.0,65
PA2580010,AQUA PA WATER CO BROOKLYN,PA,3.0,1.0,44,0.038,14.321568627450981,14300.0,66
PA4560029,BERLIN BORO MUNI AUTH,PA,3.0,882.0,2468,0.033,14.307246376811595,190500.0,67
IL1130750,LE ROY,IL,46.0,8.0,3498,0.049,14.271354166666669,217800.0,68
PA3130043,JIM THORPE BOROUGH WATER EAST,PA,7.0,961.0,2853,0.028,14.211463664278405,225100.0,69
UTAH02024,WILLARD CITY WATER SYSTEM,ID,5.0,269.0,2036,0.0416,14.111052420968388,77300.0,70
NY1921715,NEW BALTIMORE WATER DIST #2,NY,1.0,30.0,63,0.059,14.09032258064516,10700.0,71
PA2640022,AQUA PA WATER CO GOULDSBORO,PA,19.0,13.0,350,0.031,14.074074074074073,91900.0,72
IL0312550,RICHTON PARK,IL,224.0,280.0,12504,0.0211,13.953142567738666,1108800.0,73
IL0970800,LAKE FOREST,IL,250.0,31.0,19642,0.028,13.803764139590855,1181200.0,74
MN1690022,Hibbing,MN,64.0,5724.0,16028,0.032,13.79793168986528,1445600.0,75
IL0315880,LEYDEN TWSP WATER DISTRICT,IL,203.0,3.0,10000,0.0166,13.720904332330994,954700.0,76
IL1610250,EAST MOLINE,IL,1673.0,4065.0,21374,0.023,13.649171244776259,8676100.0,77
PA5040006,MUN WATER AUTH OF ALIQUIPPA,PA,142.0,3618.0,15685,0.0335,13.610484717846681,1391000.0,78
IL0977370,WEST SHORE PARK SUBDIVISION,IL,3.0,19.0,590,0.0158,13.511111111111113,17900.0,79
PA4140081,PAW NITTANY,PA,5.0,485.0,1499,0.037,13.500054914881934,120500.0,80
TX0270014,COUNCIL CREEK VILLAGE,MO,22.0,68.0,333,0.035,13.454545454545457,117000.0,81
PA3060030,AQUA PA GEIGERTOWN WATER SYS,PA,13.0,12.0,200,0.0285,13.424657534246576,63500.0,82
PA3540015,AUBURN MUNICIPAL AUTHORITY,PA,145.0,0.0,920,0.0225,13.398058252427186,681500.0,83
MI0006545,TAYLOR,MI,124.0,0.0,63409,0.0163,13.28538562761685,582800.0,84
IL0310360,BURNHAM,IL,678.0,407.0,3989,0.0151,13.23062362030905,3268000.0,85
IL1110750,RICHMOND,IL,89.0,15.0,2089,0.016,13.191407867494824,421300.0,86
